date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:03	69/69	---M-Z	200	added ('OK')	text/plain	date:Sat,%2019%20Oct%202024%2011:48:03%20GMT	https://amisign.com/robots.txt		(from )
17:18:04	59763/59763	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Oct%202024%2011:48:03%20GMT	https://amisign.com/	./hrstreams/amisign.com/index.html	(from )
17:18:04	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2019%20Oct%202024%2011:48:04%20GMT	https://amisign.com/xmlrpc.php	./hrstreams/amisign.com/xmlrpc.php	(from https://amisign.com/)
17:18:05	590/590	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:34%20GMT	https://amisign.com/wp-content/plugins/cmssuperheroes/assets/css/cms-style.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/plugins/cmssuperheroes/assets/css/cms-style092c.css	(from https://amisign.com/)
17:18:06	4556/4556	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b49f25c1bcb62264abefb32c2cfc4a16%22	https://amisign.com/comments/feed/	./hrstreams/amisign.com/comments/feed/index.html	(from https://amisign.com/)
17:18:06	15496/15496	---MCZ	200	added ('OK')	application/rss+xml	etag:%228c0cce579372bd40ce3011e3e892d974%22	https://amisign.com/feed/	./hrstreams/amisign.com/feed/index.html	(from https://amisign.com/)
17:18:07	1743/1743	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:34%20GMT	https://amisign.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	./hrstreams/amisign.com/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from https://amisign.com/)
17:18:07	857/857	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:34%20GMT	https://amisign.com/wp-content/plugins/jobboard-map/assets/css/jobboard-map.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/plugins/jobboard-map/assets/css/jobboard-map092c.css	(from https://amisign.com/)
17:18:08	169/169	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:34%20GMT	https://amisign.com/wp-content/plugins/jobboard-profile-widget/assets/css/profile-widget.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/plugins/jobboard-profile-widget/assets/css/profile-widget092c.css	(from https://amisign.com/)
17:18:09	15196/15196	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:35%20GMT	https://amisign.com/wp-content/plugins/jobboard/assets/libs/select2/select2.min.css?ver=4.0.3	./hrstreams/amisign.com/wp-content/plugins/jobboard/assets/libs/select2/select2.minfa0c.css	(from https://amisign.com/)
17:18:10	4210/4210	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:35%20GMT	https://amisign.com/wp-content/plugins/jobboard/assets/libs/bootstrap/responsive.min.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/plugins/jobboard/assets/libs/bootstrap/responsive.min092c.css	(from https://amisign.com/)
17:18:11	18122/18122	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:35%20GMT	https://amisign.com/wp-content/plugins/jobboard/assets/libs/modal-effects/modal-effects.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/plugins/jobboard/assets/libs/modal-effects/modal-effects092c.css	(from https://amisign.com/)
17:18:12	3009/3009	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:35%20GMT	https://amisign.com/wp-content/plugins/jobboard/assets/css/jobboard.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/plugins/jobboard/assets/css/jobboard092c.css	(from https://amisign.com/)
17:18:13	46360/46360	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202017%2001:40:48%20GMT	https://amisign.com/wp-includes/css/dashicons.min.css?ver=4.9.26	./hrstreams/amisign.com/wp-includes/css/dashicons.min092c.css	(from https://amisign.com/)
17:18:20	39750/39750	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:34%20GMT	https://amisign.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	./hrstreams/amisign.com/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from https://amisign.com/)
17:18:21	116993/116993	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:31%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/assets/css/bootstrap.min.css?ver=3.3.2	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/assets/css/bootstrap.mind617.css	(from https://amisign.com/)
17:18:21	6654/6654	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:31%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/assets/css/magnific-popup.css?ver=1.0.0	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/assets/css/magnific-popup8a54.css	(from https://amisign.com/)
17:18:22	70815/70815	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:31%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/assets/css/material-design-iconic-font.min.css?ver=4.3.0	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/assets/css/material-design-iconic-font.minb2f9.css	(from https://amisign.com/)
17:18:23	1044/1044	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:31%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/style.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/style092c.css	(from https://amisign.com/)
17:18:24	8639/8639	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:31%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/assets/css/pe-icon-7-stroke.css?ver=1.0.1	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/assets/css/pe-icon-7-strokef269.css	(from https://amisign.com/)
17:18:27	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:31%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/assets/css/custom-dynamic.css?ver=4.9.26	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/assets/css/custom-dynamic.12092c.delayed	(from https://amisign.com/)
17:18:27	361966/361966	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Dec%202018%2014:35:12%20GMT	https://amisign.com/wp-content/themes/wp-recruitment/assets/css/static.css?ver=1.1.2	./hrstreams/amisign.com/wp-content/themes/wp-recruitment/assets/css/staticcfa9.css	(from https://amisign.com/)
17:18:27	6308/6308	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2018:50:35%20GMT	https://amisign.com/wp-content/plugins/newsletter/style.css?ver=5.7.1	./hrstreams/amisign.com/wp-content/plugins/newsletter/stylea78f.css	(from https://amisign.com/)
